STRUCTURE,STRUCTURE_ID,ACTION,FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,AGE,AGE_LABEL,URBANISATION,URBANISATION_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL,TIME_PERIOD,OBS_VALUE,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,UNIT_TYPE,UNIT_TYPE_LABEL,TIME_FORMAT,TIME_FORMAT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,BGD,Bangladesh,WB_FINDEX_FIN13BM,"Sent money from a mobile money account, monthly",_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,3.4114798032430103,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,BEN,Benin,WB_FINDEX_FIN13BM,"Sent money from a mobile money account, monthly",_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,11.2210110981707,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,BWA,Botswana,WB_FINDEX_FIN13BM,"Sent money from a mobile money account, monthly",_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,19.788145688527106,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,BFA,Burkina Faso,WB_FINDEX_FIN13BM,"Sent money from a mobile money account, monthly",_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,10.7305351299102,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,KHM,Cambodia,WB_FINDEX_FIN13BM,"Sent money from a mobile money account, monthly",_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,3.48643168521935,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,CMR,Cameroon,WB_FINDEX_FIN13BM,"Sent money from a mobile money account, monthly",_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,12.887958189778,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,TCD,Chad,WB_FINDEX_FIN13BM,"Sent money from a mobile money account, monthly",_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,2.39687494691602,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,COM,Comoros,WB_FINDEX_FIN13BM,"Sent money from a mobile money account, monthly",_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,3.08939272626347,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,COD,"Congo, Dem. Rep.",WB_FINDEX_FIN13BM,"Sent money from a mobile money account, monthly",_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,8.52783193347524,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,COG,"Congo, Rep.",WB_FINDEX_FIN13BM,"Sent money from a mobile money account, monthly",_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,9.64203605506231,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,CIV,Cote d'Ivoire,WB_FINDEX_FIN13BM,"Sent money from a mobile money account, monthly",_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,11.5287419445415,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.2),I,A3,Triennial,SWZ,Eswatini,WB_FINDEX_FIN13BM,"Sent money from a mobile money account, monthly",_T,Total,Y_GE15,15 years old and over,_T,Total,PT_RESP,Percentage of respondents,_T,Total,_T,Total,_T,Total,2024,19.1271231296726,WB_FINDEX,Global Findex Database,0,Units,RATIO,Ratio,602,CCYY,A,Normal value,PU,Public
